,Ecosystem,Season,Time,Year_x,H_mean,LE_mean,Rn_mean,PVeff_x,PVe_mean,Sin_x,Sout_x,Lin_x,Lout_x,Year_y,H_sd,LE_sd,Rn_sd,PVeff_y,PVe_sd,Sin_y,Sout_y,Lin_y,Lout_y
99,Desert background,Summer,01:30,2019.0,-12.14719,-5.8241367,-87.61202,0.058,0.0,0.0,0.008598667,382.542,470.14542,0.0,6.183171680605784,6.354157552554821,7.317245151942763,0.0,0.0,0.0,0.021062345731725825,8.627172987405629,7.15050051095965
100,Desert background,Summer,02:00,2019.0,-13.098312,-6.957472,-87.05587,0.058,0.0,0.0,0.0005453572,380.40082,467.45615,0.0,11.320033881523795,7.382288573820898,6.977234471993806,0.0,0.0,0.0,0.0011519386839711084,8.787239236708313,7.074082516198015
101,Desert background,Summer,02:30,2019.0,-14.160229,-4.353445,-86.04566,0.058,0.0,0.0,0.008562174,378.71332,464.75043,0.0,11.299159451830391,2.4261684598866826,6.850985419858112,0.0,0.0,0.0,0.018051502243223425,9.467102663492799,7.422907248299725
102,Desert background,Summer,03:00,2019.0,-21.04374,-3.512185,-85.13857,0.058,0.0,0.0,0.004112755,377.2255,462.35995,0.0,20.041438569734684,1.293692317123401,6.611076790539127,0.0,0.0,0.0,0.005946363900148298,9.337145573718912,6.862420786056065
103,Desert background,Summer,03:30,2019.0,-11.963366,-3.932715,-83.55177,0.058,0.0,0.0,0.017940335,376.4035,459.93732,0.0,9.473503917629602,7.882775095849426,5.590605501962331,0.0,0.0,0.0,0.028622084888452352,10.128555293985823,6.871168911748527
104,Desert background,Summer,04:00,2019.0,-11.365264,-2.8648467,-82.99552,0.058,0.0,0.0,0.01617644,375.13934,458.11868,0.0,14.636514161900832,2.026208318779951,4.865348580788234,0.0,0.0,0.0,0.02479331200887303,10.116809511187242,7.235794510353877
105,Desert background,Summer,04:30,2019.0,-11.40147,-4.137085,-83.67637,0.058,0.0,0.0,0.005921132,372.84198,456.51245,0.0,2.0917984216418204,10.500880893364155,5.316559293234832,0.0,0.0,0.0,0.012011052435061228,10.674493302069191,7.1073627111407625
106,Desert background,Summer,05:00,2019.0,-14.958241,-4.5545535,-83.26231,0.058,0.0,0.0,0.021013107,371.072,454.3133,0.0,7.078834162943987,0.5020365111986235,5.357205230118937,0.0,0.0,0.0,0.021276810069195403,10.989513519545202,7.1763750582586185
107,Desert background,Summer,05:30,2019.0,-13.374255,-3.8506434,-82.15726,0.058,0.0,1.9731756,1.56552,369.70242,452.26733,0.0,9.039550314219353,1.2037691072743877,5.671792695470294,0.0,0.0,0.6060189089597844,0.14279693524389503,11.529463148338444,7.235800006900617
108,Desert background,Summer,06:00,2019.0,-13.011518,-13.080779,-67.19762,0.058,0.0,37.816,20.955667,368.58716,452.6451,0.0,9.883481770001795,10.682893977235276,5.9136003359269145,0.0,0.0,3.770615076424411,2.679596510271922,11.655537086139633,6.986989755248656
109,Desert background,Summer,06:30,2019.0,-10.233155,0.9275511,-39.39995,0.058,0.0,106.554504,56.706802,368.28677,457.53442,0.0,7.821916939714984,4.938495038036397,5.6182255929299085,0.0,0.0,4.892822135316831,4.346096223313043,11.565375188297391,7.266325192845198
110,Desert background,Summer,07:00,2019.0,23.166273,4.101653,20.705353,0.058,0.0,212.82167,94.527214,368.54114,466.13022,0.0,11.443698803263505,6.0808254562006345,1.7501183736947958,0.0,0.0,7.426799490224619,3.701533774355311,10.126237636749469,7.273643793824884
111,Desert background,Summer,07:30,2019.0,13.811401,4.951118,91.20906,0.058,0.0,331.26883,132.47433,369.59515,477.1806,0.0,11.706001495752739,7.867721713650788,2.6981112824114875,0.0,0.0,8.84346701046698,3.3950587653053783,9.378114252011528,7.557562303738148
